pc_1,pc_2,batch,cell_line,molecular_subtype,receptor_status,sample,tmt_label
877.5305508764434,4035.1493167276058,batch2,MDAMB436,Basal B,TNBC,MDAMB436,Set2~rq_128n_sn_sum
-3905.8508840413137,-1588.4895791544036,batch2,MDAMB453,Luminal,TNBC,MDAMB453,Set2~rq_128c_sn_sum
-695.5847014039425,371.8691803736447,batch2,MDAMB468,Basal A,TNBC,MDAMB468,Set2~rq_129n_sn_sum
-5455.643298485349,2010.1017323579956,batch7,MGH312,Luminal,HR+,MGH312,default~rq_127n_sn_sum
-4807.129640266242,-4462.16868695235,batch7,MGH358,Luminal,HR+,MGH358,default~rq_127c_sn_sum
3841.0409566005246,3619.6684923081407,batch5,New Bridge5,Bridge,Bridge,New Bridge5,default~rq_131C_sn_sum
3395.933076236136,1670.705050227113,batch8,New Bridge8,Bridge,Bridge,New Bridge8,default~rq_131c_sn_sum
3939.490742677949,3144.989090034639,batch5,Old Bridge5,Bridge,Bridge,Old Bridge5,default~rq_131_sn_sum
3684.58997399114,1162.8527991278468,batch8,Old Bridge8,Bridge,Bridge,Old Bridge8,default~rq_131_sn_sum
1186.9339543466494,1493.044136741782,batch8,OVCAR3,ovarian,ovarian,OVCAR3,default~rq_129c_sn_sum
2274.971057254373,4731.750531324291,batch8,OVCAR8,ovarian,ovarian,OVCAR8,default~rq_130n_sn_sum
-872.0991164248794,-2078.6796927548435,batch5,PDX1206,Basal,TNBC,PDX1206,default~rq_130c_sn_sum
-1243.1681275084322,68.34256202698778,batch1,PDX1258,Basal,TNBC,PDX1258,Set1~rq_129c_sn_sum
-946.2188921490482,-4579.973585901473,batch1,PDX1328,Basal,TNBC,PDX1328,Set1~rq_130n_sn_sum
-338.80865957550446,1112.5959460595575,batch3,PDXHCI002,Basal,TNBC,PDXHCI002,Set3~rq_130c_sn_sum
-4762.510224029104,-102.75045894859271,batch1,SKBR3,Luminal,Her2amp,SKBR3,Set1~rq_130c_sn_sum
1923.4777382144666,4301.232625070138,batch8,SKOV3,ovarian,ovarian,SKOV3,default~rq_130c_sn_sum
490.8404626390144,4206.965488684499,batch4,SUM1315,Basal B,TNBC,SUM1315,Set4~rq_129n_sn_sum
3216.937966685299,-2457.560607912741,batch4,SUM149,Basal B,TNBC,SUM149,Set4~rq_129c_sn_sum
1725.5921657569795,2898.0674689983957,batch4,SUM159,Basal B,TNBC,SUM159,Set4~rq_130n_sn_sum
-6050.332942896259,1526.5282207923153,batch7,SUM185PE,Luminal,TNBC,SUM185PE,default~rq_128n_sn_sum
-1658.2132363660228,-5107.586870469143,batch8,SUM190PT,Basal A/Luminal,Her2amp,SUM190PT,default~rq_126_sn_sum
8369.909864598183,-1939.928519653158,batch6,SUM229PE,Basal A,TNBC,SUM229PE,default~rq_130n_sn_sum
-3259.7566778968135,-3064.201086306271,batch8,SUM44PE,Luminal,HR+,SUM44PE,default~rq_127n_sn_sum
-767.2620018262579,-4305.298875485964,batch6,SUM52PE,Luminal,HR+,SUM52PE,default~rq_128c_sn_sum
-5210.452342861647,21.252777345058874,batch4,T47D,Luminal,HR+,T47D,Set4~rq_130c_sn_sum
-4024.3214419095857,1981.3986723406445,batch6,UACC-812,Luminal,Her2amp,UACC-812,default~rq_127c_sn_sum
-3447.997966167325,-3242.1592731970472,batch8,UACC893,Luminal,Her2amp,UACC893,default~rq_127c_sn_sum
-4593.070389882249,1119.0515958200517,batch6,ZR-75-1,Luminal,HR+,ZR-75-1,default~rq_129n_sn_sum
-4059.7181804868965,-921.964554281577,batch8,ZR-75-1 (repeat),Luminal,HR+,ZR-75-1 (repeat),default~rq_128n_sn_sum
-6214.234470300756,-608.4420561194341,batch6,ZR-75-30,Luminal,Her2amp,ZR-75-30,default~rq_126_sn_sum
-4941.332680107054,-2526.9670376565946,batch8,ZR-75-30 (repeat),Luminal,Her2amp,ZR-75-30 (repeat),default~rq_128c_sn_sum
